rest_time,heart_rate_stop,heart_rate_start,speed_stop,speed_start,altitude_stop,altitude_start,total_running_time,HRR
11.0,154.0,145.0,14.2092,0.0684,183.4,183.4,444.0,9.0
21.0,156.0,136.0,14.076,0.0,185.0,192.6,147.0,20.0
78.0,173.0,125.0,14.2776,3.4272,172.2,174.8,781.0,48.0
159.0,168.0,111.0,12.6972,0.3708,169.2,181.0,1138.0,57.0
346.0,178.0,124.0,13.9392,0.4356,177.2,189.0,1785.0,54.0
8.0,165.0,163.0,12.4632,1.5804,175.4,176.8,1884.0,2.0
536.0,171.0,112.0,13.032,0.0,170.0,180.4,1934.0,59.0
31.0,165.0,151.0,11.6208,0.2016,170.4,172.8,2203.0,14.0
174.0,172.0,120.0,12.9672,5.508,175.6,173.0,2391.0,52.0
125.0,171.0,127.0,12.1608,4.0644,168.0,174.8,2699.0,44.0
5.0,177.0,176.0,12.2616,7.5564,177.0,177.0,3333.0,1.0
65.0,164.0,120.0,12.3624,2.5524,172.0,166.4,1467.0,44.0
38.0,168.0,145.0,15.786,2.0844,171.0,170.8,1331.0,23.0
